16, 16, 74000, 0, 0, 0.003, 0.169, 0.0001, 0.002, 0.0056,
16, 272, 336144, 0, 0, 0.001, 0, 0.0002, 0.002, 0.0015,
16, 528, 598288, 0, 0, 0.001, 0, 0.0002, 0.006, 0.0027,
16, 784, 860432, 0, 0, 0.001, 0, 0.0003, 0.005, 0.0029,
16, 1040, 1122576, 0, 0, 0.003, 0.001, 0.0004, 0.006, 0.0034,
16, 1296, 1384720, 0.001, 0, 0.001, 0.001, 0.0005, 0.007, 0.0043,
16, 1552, 1646864, 0, 0, 0.002, 0.001, 0.0006, 0.007, 0.0042,
16, 1808, 1909008, 0, 0, 0.002, 0.001, 0.0005, 0.008, 0.0042,
16, 2064, 2171152, 0.001, 0, 0.002, 0.001, 0.0007, 0.008, 0.0047,
16, 2320, 2433296, 0, 0, 0.002, 0.002, 0.0007, 0.009, 0.0051,
16, 2576, 2695440, 0, 0, 0.003, 0.002, 0.0009, 0.012, 0.0052,
16, 2832, 2957584, 0, 0, 0.002, 0.001, 0.0009, 0.01, 0.0051,
16, 3088, 3219728, 0, 0, 0.002, 0.001, 0.0009, 0.01, 0.0059,
16, 3344, 3481872, 0.001, 0, 0.003, 0.002, 0.0009, 0.011, 0.006,
16, 3600, 3744016, 0, 0, 0.004, 0.002, 0.0011, 0.013, 0.0067,
272, 16, 995856, 0, 0, 0, 0.001, 0.0002, 0.002, 0.001,
272, 272, 1258000, 0, 0, 0.001, 0.004, 0.0008, 0.005, 0.0051,
272, 528, 1520144, 0, 0, 0.001, 0.002, 0.0015, 0.004, 0.0082,
272, 784, 1782288, 0, 0, 0.001, 0.003, 0.002, 0.005, 0.0117,
272, 1040, 2044432, 0, 0, 0.001, 0.001, 0.0008, 0.005, 0.0152,
272, 1296, 2306576, 0, 0, 0.001, 0.001, 0.0009, 0.007, 0.0188,
272, 1552, 2568720, 0, 0, 0.001, 0.001, 0.0011, 0.008, 0.0193,
272, 1808, 2830864, 0, 0, 0.001, 0.002, 0.0012, 0.008, 0.0218,
272, 2064, 3093008, 0.001, 0, 0.001, 0.002, 0.0014, 0.009, 0.0247,
272, 2320, 3355152, 0, 0, 0.001, 0.002, 0.0016, 0.009, 0.0275,
272, 2576, 3617296, 0, 0, 0.001, 0.002, 0.0018, 0.011, 0.0308,
272, 2832, 3879440, 0, 0, 0.001, 0.003, 0.002, 0.011, 0.0337,
272, 3088, 4141584, 0, 0, 0.001, 0.003, 0.0022, 0.013, 0.0388,
272, 3344, 4403728, 0, 0, 0.002, 0.003, 0.0024, 0.013, 0.0385,
272, 3600, 4665872, 0, 0, 0.002, 0.002, 0.0026, 0.014, 0.0419,
528, 16, 1917712, 0, 0, 0.001, 0.001, 0.0001, 0.003, 0.0017,
528, 272, 2179856, 0, 0, 0.001, 0, 0.0004, 0.003, 0.0081,
528, 528, 2442000, 0, 0, 0, 0.002, 0.0008, 0.005, 0.0148,
528, 784, 2704144, 0, 0, 0.001, 0.002, 0.0011, 0.006, 0.0192,
528, 1040, 2966288, 0, 0, 0.001, 0.002, 0.0015, 0.007, 0.0252,
528, 1296, 3228432, 0, 0, 0.001, 0.002, 0.0017, 0.008, 0.0297,
528, 1552, 3490576, 0, 0, 0.001, 0.002, 0.0021, 0.009, 0.0357,
528, 1808, 3752720, 0, 0, 0.002, 0.012, 0.0033, 0.011, 0.0454,
528, 2064, 4014864, 0, 0, 0.001, 0.004, 0.0028, 0.011, 0.0464,
528, 2320, 4277008, 0, 0, 0.001, 0.003, 0.0032, 0.012, 0.0513,
528, 2576, 4539152, 0, 0, 0.001, 0.004, 0.0035, 0.014, 0.0569,
528, 2832, 4801296, 0.001, 0, 0.002, 0.003, 0.0038, 0.014, 0.0617,
528, 3088, 5063440, 0, 0, 0.001, 0.005, 0.0041, 0.015, 0.0675,
528, 3344, 5325584, 0, 0, 0.001, 0.005, 0.0045, 0.016, 0.0777,
528, 3600, 5587728, 0, 0, 0.002, 0.005, 0.0048, 0.017, 0.0875,
784, 16, 2839568, 0, 0, 0.001, 0.001, 0.0003, 0.006, 0.0027,
784, 272, 3101712, 0, 0.001, 0.001, 0.002, 0.0021, 0.005, 0.0114,
784, 528, 3363856, 0, 0, 0.001, 0.001, 0.0011, 0.006, 0.0208,
